# 家卫 · MAC 厂商（OUI）精简表
# 生成方式: python tools/build_oui_table.py --from wireshark
# 数据来源: https://www.wireshark.org/download/automated/data/manuf
# 过滤策略: 家庭 / 国产设备厂商白名单
# 字段: prefix,vendor,vendor_cn,device_hint
# 说明: device_hint 只在厂商几乎只做该品类时才填，其余留空 —— 不猜。
prefix,vendor,vendor_cn,device_hint
00:23:d7,SamsungElect,Samsung / 三星,
00:23:df,Apple,Apple,
00:23:f1,Sony,Sony / 索尼,
00:24:36,Apple,Apple,
00:24:54,SamsungElect,Samsung / 三星,
00:24:8c,ASUSTekCOMPU,华硕,router
00:24:90,SamsungElect,Samsung / 三星,
00:24:91,SamsungElect,Samsung / 三星,
00:24:b2,Netgear,NETGEAR,router
00:24:be,Sony,Sony / 索尼,
00:24:e9,SamsungElect,Samsung / 三星,
00:24:ef,Sony,Sony / 索尼,
00:25:00,Apple,Apple,
00:25:12,zte,中兴,
00:25:1b,PhilipsCareS,Signify / 飞利浦,bulb
00:25:38,SamsungElect,Samsung / 三星,
00:25:4b,Apple,Apple,
00:25:66,SamsungElect,Samsung / 三星,
00:25:67,SamsungElect,Samsung / 三星,
00:25:68,HuaweiTechno,华为,
00:25:86,TpLinkTechno,TP-Link,router
00:25:8d,Haier,海尔,
00:25:9e,HuaweiTechno,华为,
00:25:bc,Apple,Apple,
00:25:e7,Sony,Sony / 索尼,
00:26:08,Apple,Apple,
00:26:0d,Mercury,水星 / Mercury,router
00:26:18,ASUSTekCOMPU,华硕,router
00:26:37,SamsungElect,Samsung / 三星,
00:26:4a,Apple,Apple,
00:26:5d,SamsungElect,Samsung / 三星,
00:26:5f,SamsungElect,Samsung / 三星,
00:26:b0,Apple,Apple,
00:26:bb,Apple,Apple,
00:26:ed,zte,中兴,
00:26:f2,Netgear,NETGEAR,router
00:27:19,TpLinkTechno,TP-Link,router
00:27:1c,Mercury,水星 / Mercury,router
00:27:22,Ubiquiti,Ubiquiti,router
00:2b:70,SamsungElect,Samsung / 三星,
00:2e:c7,HuaweiTechno,华为,
00:30:65,Apple,Apple,
00:31:92,TPLink,TP-Link,router
00:34:fe,HuaweiTechno,华为,
00:3d:e1,HuaweiDevice,华为,
00:3e:c4,HuaweiDevice,华为,
00:3e:e1,Apple,Apple,
00:46:4b,HuaweiTechno,华为,
00:4a:77,zte,中兴,
00:4b:0d,HuaweiDevice,华为,
00:4b:12,Espressif,Espressif / 乐鑫,
00:4b:f3,MercuryCommu,水星 / Mercury,router
00:4f:1a,HuaweiTechno,华为,
00:50:09,PhilipsBroad,Signify / 飞利浦,bulb
00:50:e4,Apple,Apple,
00:56:6d,HuaweiDevice,华为,
00:56:cd,Apple,Apple,
00:56:f1,zte,中兴,
00:5a:13,HuaweiTechno,华为,
00:5b:94,Apple,Apple,
00:5c:c2,MercuryCommu,水星 / Mercury,router
00:5f:67,TPLink,TP-Link,router
00:61:51,HuaweiTechno,华为,
00:61:71,Apple,Apple,
00:66:19,HuaweiDevice,华为,
00:66:4b,HuaweiTechno,华为,
00:66:dc,Apple,Apple,
00:68:2b,HuaweiDevice,华为,
00:6b:6f,HuaweiTechno,华为,
00:6d:52,Apple,Apple,
00:6f:64,SamsungElect,Samsung / 三星,
00:70:07,Espressif,Espressif / 乐鑫,
00:72:04,SamsungElect,Samsung / 三星,
00:73:e0,SamsungElect,Samsung / 三星,
00:7c:2d,SamsungElect,Samsung / 三星,
00:7d:3b,SamsungElect,Samsung / 三星,
00:7d:60,Apple,Apple,
00:80:b6,Mercury–Trus,水星 / Mercury,router
00:81:2a,Apple,Apple,
00:83:20,HuaweiDevice,华为,
00:87:01,SamsungElect,Samsung / 三星,
00:88:65,Apple,Apple,
00:8a:55,HuaweiDevice,华为,
00:8a:76,Apple,Apple,
00:8e:f2,Netgear,NETGEAR,router
00:90:20,PhilipsAnaly,Signify / 飞利浦,bulb
00:90:3e,NVPhilipsInd,Signify / 飞利浦,bulb
00:92:35,Apple,Apple,
00:94:ec,HuaweiDevice,华为,
00:97:f1,Apple,Apple,
00:99:1d,HuaweiTechno,华为,
00:9a:cd,HuaweiTechno,华为,
00:9e:c8,XiaomiCommun,小米,
00:a0:40,Apple,Apple,
00:a3:07,HonorDevice,荣耀,
00:a4:5f,HuaweiDevice,华为,
00:a9:1d,HuaweiTechno,华为,
00:ad:d5,HuaweiDevice,华为,
00:ae:f7,DreameTechno,追觅,vacuum
00:b3:62,Apple,Apple,
00:b5:d0,SamsungElect,Samsung / 三星,
00:bb:1c,HuaweiDevice,华为,
00:bc:99,HikvisionDig,海康威视,camera
00:be:3b,HuaweiTechno,华为,
00:bf:61,SamsungElect,Samsung / 三星,
00:c3:0a,XiaomiCommun,小米,
00:c3:f4,SamsungElect,Samsung / 三星,
00:c5:85,Apple,Apple,
00:c6:10,Apple,Apple,
00:cc:05,HuaweiTechno,华为,
00:cd:fe,Apple,Apple,
00:d0:de,PhilipsMulti,Signify / 飞利浦,bulb
00:d8:a2,HuaweiDevice,华为,
00:db:70,Apple,Apple,
00:e0:18,ASUSTekCOMPU,华硕,router
00:e0:64,SamsungElect,Samsung / 三星,
00:e0:fc,HuaweiTechno,华为,
00:e1:2f,HuaweiTechno,华为,
00:e3:b2,SamsungElect,Samsung / 三星,
00:e4:06,HuaweiTechno,华为,
00:e7:e3,zte,中兴,
00:eb:2d,Sony,Sony / 索尼,
00:ec:0a,XiaomiCommun,小米,
00:f3:9f,Apple,Apple,
00:f4:6f,SamsungElect,Samsung / 三星,
00:f4:b9,Apple,Apple,
00:f5:fd,HuaweiTechno,华为,
00:f6:20,Google,Google,speaker
00:f7:6f,Apple,Apple,
00:f7:ad,HuaweiTechno,华为,
00:f8:1c,HuaweiTechno,华为,
00:f9:52,HuaweiTechno,华为,
00:fa:21,SamsungElect,Samsung / 三星,
00:fb:4a,Espressif,Espressif / 乐鑫,
04:00:6e,Google,Google,speaker
04:02:1f,HuaweiTechno,华为,
04:03:12,HikvisionDig,海康威视,camera
04:0c:ce,Apple,Apple,
04:0f:66,TPLink,TP-Link,router
04:10:6b,XiaomiCommun,小米,
04:13:7a,Apple,Apple,
04:14:71,HuaweiTechno,华为,
