# 家卫 · MAC 厂商（OUI）精简表
# 生成方式: python tools/build_oui_table.py --from wireshark
# 数据来源: https://www.wireshark.org/download/automated/data/manuf
# 过滤策略: 家庭 / 国产设备厂商白名单
# 字段: prefix,vendor,vendor_cn,device_hint
# 说明: device_hint 只在厂商几乎只做该品类时才填，其余留空 —— 不猜。
prefix,vendor,vendor_cn,device_hint
30:96:fb,SamsungElect,Samsung / 三星,
30:99:35,zte,中兴,
30:9e:62,HuaweiTechno,华为,
30:a0:33,Apple,Apple,
30:a1:fa,HuaweiTechno,华为,
30:a2:c2,HuaweiDevice,华为,
30:a3:0f,HuaweiTechno,华为,
30:a8:db,Sony,Sony / 索尼,
30:a9:98,HuaweiDevice,华为,
30:aa:e4,HuaweiDevice,华为,
30:ab:6a,SamsungElect,Samsung / 三星,
30:ae:a4,Espressif,Espressif / 乐鑫,
30:b4:9e,TpLinkTechno,TP-Link,router
30:b5:c2,TpLinkTechno,TP-Link,router
30:b9:30,zte,中兴,
30:bb:7d,OnePlusTechn,一加,
30:c0:ae,Apple,Apple,
30:c5:0f,HuaweiTechno,华为,
30:c5:99,ASUSTekCOMPU,华硕,router
30:c6:ab,zte,中兴,
30:c6:f7,Espressif,Espressif / 乐鑫,
30:c7:ae,SamsungElect,Samsung / 三星,
30:c9:22,Espressif,Espressif / 乐鑫,
30:c9:cc,SamsungElect,Samsung / 三星,
30:cb:f8,SamsungElect,Samsung / 三星,
30:cc:21,zte,中兴,
30:cd:a7,SamsungElect,Samsung / 三星,
30:d1:7e,HuaweiTechno,华为,
30:d3:86,zte,中兴,
30:d4:e2,HuaweiTechno,华为,
30:d5:3e,Apple,Apple,
30:d5:87,SamsungElect,Samsung / 三星,
30:d6:c9,SamsungElect,Samsung / 三星,
30:d7:a1,Apple,Apple,
30:d8:75,Apple,Apple,
30:d9:d9,Apple,Apple,
30:dc:e7,zte,中兴,
30:de:4b,TPLink,TP-Link,router
30:de:52,SamsungElect,Samsung / 三星,
30:e0:44,Google,Google,speaker
30:e0:4f,Apple,Apple,
30:e2:26,Apple,Apple,
30:e3:96,HuaweiDevice,华为,
30:e4:d8,HuaweiDevice,华为,
30:e9:8e,HuaweiTechno,华为,
30:eb:15,HuaweiDevice,华为,
30:ed:a0,Espressif,Espressif / 乐鑫,
30:f3:1d,zte,中兴,
30:f3:35,HuaweiTechno,华为,
30:f7:c5,Apple,Apple,
30:f9:47,SkyworthDigi,创维,tv
30:f9:ed,Sony,Sony / 索尼,
30:fb:b8,HuaweiTechno,华为,
30:fc:68,TpLinkTechno,TP-Link,router
30:fd:38,Google,Google,speaker
30:fd:65,HuaweiTechno,华为,
30:fe:6c,Apple,Apple,
30:ff:fd,HuaweiTechno,华为,
34:00:a3,HuaweiTechno,华为,
34:08:bc,Apple,Apple,
34:09:62,HikvisionDig,海康威视,camera
34:0a:98,HuaweiTechno,华为,
34:0e:22,Apple,Apple,
34:10:be,Apple,Apple,
34:10:d0,HuaweiTechno,华为,
34:12:98,Apple,Apple,
34:12:dc,QingdaoHaier,海尔,
34:12:f9,HuaweiTechno,华为,
34:14:5f,SamsungElect,Samsung / 三星,
34:15:9e,Apple,Apple,
34:1c:f0,XiaomiCommun,小米,
34:1e:6b,HuaweiTechno,华为,
34:23:ba,SamsungElect,Samsung / 三星,
34:24:3e,zte,中兴,
34:26:01,HuaweiTechno,华为,
34:28:40,Apple,Apple,
34:29:12,HuaweiTechno,华为,
34:29:ef,QingdaoHaier,海尔,
34:2b:6e,Apple,Apple,
34:2d:0d,SamsungElect,Samsung / 三星,
34:2d:0f,zte,中兴,
34:2e:b6,HuaweiTechno,华为,
34:31:11,SamsungElect,Samsung / 三星,
34:31:8f,Apple,Apple,
34:36:38,HuaweiTechno,华为,
34:36:3b,Apple,Apple,
34:36:54,zte,中兴,
34:37:59,zte,中兴,
34:39:16,Google,Google,speaker
34:3d:a9,HuaweiTechno,华为,
34:42:62,Apple,Apple,
34:46:ec,HuaweiDevice,华为,
34:4a:1b,zte,中兴,
34:4a:86,HonorDevice,荣耀,
34:4b:50,zte,中兴,
34:4d:ea,zte,中兴,
34:4e:e2,HuaweiDevice,华为,
34:51:84,HuaweiDevice,华为,
34:51:c9,Apple,Apple,
34:58:40,HuaweiTechno,华为,
34:5f:45,Espressif,Espressif / 乐鑫,
34:60:f9,TPLink,TP-Link,router
34:66:79,HuaweiTechno,华为,
34:66:91,Apple,Apple,
34:69:87,zte,中兴,
34:6a:c2,HuaweiTechno,华为,
34:6b:d3,HuaweiTechno,华为,
34:6e:68,HuaweiTechno,华为,
34:71:46,HuaweiDevice,华为,
34:78:39,zte,中兴,
34:79:16,HuaweiTechno,华为,
34:7c:25,Apple,Apple,
34:7e:00,HuaweiDevice,华为,
34:80:b3,XiaomiCommun,小米,
34:82:c5,SamsungElect,Samsung / 三星,
34:83:d5,HuaweiTechno,华为,
34:85:11,SkyworthDigi,创维,tv
34:85:18,Espressif,Espressif / 乐鑫,
34:86:5d,Espressif,Espressif / 乐鑫,
34:86:da,HonorDevice,荣耀,
34:8a:3b,HuaweiDevice,华为,
34:8a:7b,SamsungElect,Samsung / 三星,
34:8c:5e,Apple,Apple,
34:94:54,Espressif,Espressif / 乐鑫,
34:96:71,HuaweiTechno,华为,
34:96:72,TpLinkTechno,TP-Link,router
34:96:77,zte,中兴,
34:97:f6,ASUSTekCOMPU,华硕,router
34:98:7a,Espressif,Espressif / 乐鑫,
34:98:b5,Netgear,NETGEAR,router
34:a1:37,HuaweiTechno,华为,
34:a2:a2,HuaweiTechno,华为,
34:a3:95,Apple,Apple,
34:a8:a0,HuaweiTechno,华为,
34:a8:eb,Apple,Apple,
34:aa:31,SkyworthDigi,创维,tv
34:aa:8b,SamsungElect,Samsung / 三星,
34:ab:37,Apple,Apple,
34:ab:95,Espressif,Espressif / 乐鑫,
34:ac:2f,zte,中兴,
34:b1:eb,Apple,Apple,
34:b2:0a,HuaweiDevice,华为,
34:b3:54,HuaweiTechno,华为,
34:b4:72,Espressif,Espressif / 乐鑫,
34:b7:da,Espressif,Espressif / 乐鑫,
34:b9:8d,XiaomiCommun,小米,
34:be:00,SamsungElect,Samsung / 三星,
34:c0:59,Apple,Apple,
34:c2:32,SamsungElect,Samsung / 三星,
34:c3:86,Apple,Apple,
34:c3:ac,SamsungElect,Samsung / 三星,
34:c6:dd,EzvizSoftwar,萤石,camera
34:c7:e9,Google,Google,speaker
34:cd:b0,Espressif,Espressif / 乐鑫,
34:cd:be,HuaweiTechno,华为,
34:ce:00,XIAOMIElectr,小米,
34:d6:93,HuaweiDevice,华为,
34:d8:56,SkyworthDigi,创维,tv
34:da:a1,Apple,Apple,
34:da:b7,zte,中兴,
34:dd:cc,Google,Google,speaker
34:de:34,zte,中兴,
34:e0:cf,zte,中兴,
34:e2:fd,Apple,Apple,
34:e3:fb,SamsungElect,Samsung / 三星,
34:e8:94,TpLinkTechno,TP-Link,router
34:ee:16,Apple,Apple,
34:ef:d7,HuaweiTechno,华为,
34:f0:15,XiaomiMobile,小米,
34:f0:43,SamsungElect,Samsung / 三星,
34:f0:84,SamsungElect,Samsung / 三星,
34:f5:d7,HuaweiDevice,华为,
34:f6:8d,Apple,Apple,
34:f7:16,TpLinkTechno,TP-Link,router
34:f8:dd,Apple,Apple,
34:fa:1c,XiaomiMobile,小米,
34:fd:6a,Apple,Apple,
34:fe:77,Apple,Apple,
34:ff:f3,HuaweiTechno,华为,
38:01:95,SamsungElect,Samsung / 三星,
38:04:84,Apple,Apple,
38:09:fb,Apple,Apple,
38:0a:94,SamsungElect,Samsung / 三星,
38:0b:40,SamsungElect,Samsung / 三星,
38:0f:4a,Apple,Apple,
38:0f:ad,HuaweiTechno,华为,
38:16:5a,zte,中兴,
38:16:d1,SamsungElect,Samsung / 三星,
38:18:2b,Espressif,Espressif / 乐鑫,
38:20:28,HuaweiTechno,华为,
38:22:f4,HuaweiDevice,华为,
38:28:35,zte,中兴,
38:2c:4a,ASUSTekCOMPU,华硕,router
38:2d:d1,SamsungElect,Samsung / 三星,
38:2d:e8,SamsungElect,Samsung / 三星,
38:37:8b,HuaweiTechno,华为,
38:39:6c,HuaweiDevice,华为,
38:3e:51,Espressif,Espressif / 乐鑫,
38:3f:e8,HuaweiTechno,华为,
38:44:be,Espressif,Espressif / 乐鑫,
38:46:08,zte,中兴,
38:47:bc,HuaweiTechno,华为,
38:48:4c,Apple,Apple,
38:4a:80,SamsungElect,Samsung / 三星,
38:4c:4f,HuaweiTechno,华为,
38:4d:d2,HuaweiDevice,华为,
38:52:47,HuaweiDevice,华为,
38:53:9c,Apple,Apple,
38:54:9b,zte,中兴,
38:62:33,Apple,Apple,
38:65:04,HonorDevice,荣耀,
38:65:b2,Apple,Apple,
38:66:f0,Apple,Apple,
38:68:a4,SamsungElect,Samsung / 三星,
38:6a:77,SamsungElect,Samsung / 三星,
38:6b:1c,MercuryCommu,水星 / Mercury,router
38:6e:88,zte,中兴,
38:6e:b2,HuaweiTechno,华为,
38:70:f2,HuaweiTechno,华为,
38:71:de,Apple,Apple,
38:73:6e,HuaweiDevice,华为,
38:78:62,Sony,Sony / 索尼,
38:7f:8b,Apple,Apple,
38:83:45,TpLinkTechno,TP-Link,router
38:86:f7,Google,Google,speaker
38:88:1e,HuaweiTechno,华为,
38:88:a4,Apple,Apple,
38:89:2c,Apple,Apple,
38:8a:06,SamsungElect,Samsung / 三星,
38:8b:59,Google,Google,speaker
38:8c:ef,SamsungElect,Samsung / 三星,
38:8f:30,SamsungElect,Samsung / 三星,
38:90:52,HuaweiTechno,华为,
38:90:af,zte,中兴,
38:91:48,zte,中兴,
38:94:96,SamsungElect,Samsung / 三星,
38:94:ed,Netgear,NETGEAR,router
38:98:e9,HuaweiDevice,华为,
38:9a:f6,SamsungElect,Samsung / 三星,
38:9c:b2,Apple,Apple,
38:9e:80,zte,中兴,
38:a4:4b,HuaweiDevice,华为,
38:a4:ed,XiaomiCommun,小米,
38:aa:20,zte,中兴,
38:aa:3c,SamsungElect,Samsung / 三星,
38:b3:f7,HuaweiDevice,华为,
38:b5:4d,Apple,Apple,
38:bc:01,HuaweiTechno,华为,
38:bc:1a,MEIZUTechnol,魅族,
38:c1:ed,XiaomiCommun,小米,
38:c4:3a,Apple,Apple,
38:c6:bd,XiaomiCommun,小米,
38:c9:86,Apple,Apple,
38:c9:b1,zte,中兴,
38:ca:da,Apple,Apple,
38:d0:9c,HuaweiTechno,华为,
38:d4:0b,SamsungElect,Samsung / 三星,
38:d5:47,ASUSTekCOMPU,华硕,router
38:d8:2f,zte,中兴,
38:e1:3d,Apple,Apple,
38:e1:aa,zte,中兴,
38:e2:dd,zte,中兴,
38:e6:0a,XiaomiCommun,小米,
38:eb:47,HuaweiTechno,华为,
38:ec:0d,Apple,Apple,
38:ec:e4,SamsungElect,Samsung / 三星,
38:f1:95,HuaweiTechno,华为,
38:f2:5d,EzvizSoftwar,萤石,camera
38:f5:54,HisenseElect,海信,tv
38:f6:cf,zte,中兴,
38:f7:f1,HuaweiDevice,华为,
38:f8:89,HuaweiTechno,华为,
38:f9:d3,Apple,Apple,
38:fa:ca,SkyworthDigi,创维,tv
38:fb:14,HuaweiTechno,华为,
38:fc:34,HuaweiDevice,华为,
3a:35:41,RaspberryPi,Raspberry Pi,
3a:72:c2,HuaweiTechno,华为,
3c:01:ef,Sony,Sony / 索尼,
3c:05:18,SamsungElect,Samsung / 三星,
3c:05:8e,HuaweiTechno,华为,
3c:06:30,Apple,Apple,
3c:06:a7,TpLinkTechno,TP-Link,router
3c:07:54,Apple,Apple,
3c:07:71,Sony,Sony / 索尼,
3c:07:d7,Apple,Apple,
3c:0a:7a,SamsungElect,Samsung / 三星,
3c:0d:0d,EspressifPte,Espressif / 乐鑫,
3c:0f:02,Espressif,Espressif / 乐鑫,
3c:13:5a,XiaomiCommun,小米,
3c:13:bb,HuaweiTechno,华为,
3c:15:c2,Apple,Apple,
3c:15:fb,HuaweiTechno,华为,
3c:16:40,QingdaoHaier,海尔,
3c:19:5e,SamsungElect,Samsung / 三星,
3c:1b:f8,HikvisionDig,海康威视,camera
3c:1e:b5,Apple,Apple,
3c:20:f6,SamsungElect,Samsung / 三星,
3c:22:fb,Apple,Apple,
3c:24:0a,HuaweiDevice,华为,
3c:28:6d,Google,Google,speaker
3c:29:83,SamsungElect,Samsung / 三星,
3c:2c:a6,XiaomiElectr,小米,
3c:2e:f9,Apple,Apple,
3c:2e:ff,Apple,Apple,
3c:30:6f,HuaweiTechno,华为,
3c:31:74,Google,Google,speaker
3c:31:8a,SamsungElect,Samsung / 三星,
3c:34:64,Apple,Apple,
3c:36:6a,HuaweiTechno,华为,
3c:37:86,Netgear,NETGEAR,router
3c:38:1f,HuaweiDevice,华为,
3c:38:24,XiaomiCommun,小米,
3c:38:f4,Sony,Sony / 索尼,
3c:39:c8,Apple,Apple,
3c:3b:77,Apple,Apple,
3c:46:d8,TpLinkTechno,TP-Link,router
3c:47:11,HuaweiTechno,华为,
3c:4a:c9,HuaweiDevice,华为,
3c:4d:be,Apple,Apple,
3c:50:02,Apple,Apple,
3c:52:a1,TPLink,TP-Link,router
3c:54:47,HuaweiTechno,华为,
3c:55:db,SkyworthDigi,创维,tv
3c:57:6c,SamsungElect,Samsung / 三星,
3c:59:c0,HuaweiTechno,华为,
3c:5a:37,SamsungElect,Samsung / 三星,
3c:5a:b4,Google,Google,speaker
3c:61:05,Espressif,Espressif / 乐鑫,
3c:62:00,SamsungElect,Samsung / 三星,
3c:64:cf,TPLink,TP-Link,router
3c:65:d1,HuaweiTechno,华为,
3c:67:8c,HuaweiTechno,华为,
3c:6a:48,TpLinkTechno,TP-Link,router
3c:6a:d2,TPLink,TP-Link,router
3c:6d:89,Apple,Apple,
3c:6f:9b,zte,中兴,
3c:71:bf,Espressif,Espressif / 乐鑫,
3c:76:25,zte,中兴,
3c:77:87,HuaweiDevice,华为,
3c:78:43,HuaweiTechno,华为,
3c:78:95,TPLink,TP-Link,router
3c:7c:3f,ASUSTekCOMPU,华硕,router
3c:7d:0a,Apple,Apple,
3c:7f:6e,XiaomiCommun,小米,
3c:84:27,Espressif,Espressif / 乐鑫,
3c:84:6a,TpLinkTechno,TP-Link,router
3c:86:9a,HuaweiTechno,华为,
3c:8a:1f,Espressif,Espressif / 乐鑫,
3c:8b:fe,SamsungElect,Samsung / 三星,
3c:8d:20,Google,Google,speaker
3c:90:e0,HuaweiTechno,华为,
3c:93:f4,HuaweiTechno,华为,
3c:9b:c6,HuaweiDevice,华为,
3c:9d:56,HuaweiTechno,华为,
3c:a0:0e,SkyworthDigi,创维,tv
3c:a1:0d,SamsungElect,Samsung / 三星,
3c:a1:61,HuaweiTechno,华为,
3c:a3:7e,HuaweiTechno,华为,
3c:a6:f6,Apple,Apple,
3c:a7:ae,zte,中兴,
3c:a9:16,HuaweiDevice,华为,
3c:ab:8e,Apple,Apple,
3c:af:b7,XiaomiCommun,小米,
3c:b2:33,HuaweiDevice,华为,
3c:b9:22,HuaweiTechno,华为,
3c:bb:fd,SamsungElect,Samsung / 三星,
3c:bc:d0,zte,中兴,
3c:bd:3e,XiaomiElectr,小米,
3c:bf:60,Apple,Apple,
3c:bf:d7,Apple,Apple,
3c:c0:3e,HuaweiTechno,华为,
3c:c5:c7,HuaweiTechno,华为,
3c:cd:36,Apple,Apple,
3c:cd:40,Apple,Apple,
3c:cd:57,XiaomiMobile,小米,
3c:cd:5d,HuaweiTechno,华为,
3c:d0:f8,Apple,Apple,
3c:da:2a,zte,中兴,
3c:dc:75,Espressif,Espressif / 乐鑫,
3c:dc:bc,SamsungElect,Samsung / 三星,
3c:dd:57,Apple,Apple,
3c:df:bd,HuaweiTechno,华为,
3c:e0:72,Apple,Apple,
3c:e8:24,HuaweiTechno,华为,
3c:e9:0e,Espressif,Espressif / 乐鑫,
3c:f6:52,zte,中兴,
3c:f6:92,HuaweiDevice,华为,
3c:f7:a4,SamsungElect,Samsung / 三星,
3c:f8:08,HuaweiTechno,华为,
3c:f9:f0,zte,中兴,
3c:fa:43,HuaweiTechno,华为,
3c:fa:80,HuaweiTechno,华为,
3c:fb:02,Apple,Apple,
3c:ff:d8,HuaweiTechno,华为,
40:06:34,HuaweiDevice,华为,
40:08:77,XiaomiCommun,小米,
40:0e:85,SamsungElect,Samsung / 三星,
40:0e:b9,HuaweiTechno,华为,
40:0e:f3,zte,中兴,
40:11:c3,SamsungElect,Samsung / 三星,
40:14:ad,HuaweiDevice,华为,
40:16:3b,SamsungElect,Samsung / 三星,
40:16:7e,ASUSTekCOMPU,华硕,router
40:16:9f,TpLinkTechno,TP-Link,router
40:1c:d4,HuaweiDevice,华为,
40:22:d8,Espressif,Espressif / 乐鑫,
40:24:d2,HuaweiDevice,华为,
40:26:19,Apple,Apple,
40:26:41,HuaweiTechno,华为,
40:2b:a1,Sony,Sony / 索尼,
40:30:04,Apple,Apple,
40:31:3c,XIAOMIElectr,小米,
40:33:1a,Apple,Apple,
40:35:e6,SamsungElect,Samsung / 三星,
40:3b:7b,HuaweiDevice,华为,
40:3c:fc,Apple,Apple,
40:3f:8c,TpLinkTechno,TP-Link,router
40:40:a7,Sony,Sony / 索尼,
40:41:0d,HuaweiTechno,华为,
40:44:ce,HuaweiTechno,华为,
40:44:fd,RealmeChongq,realme,
40:45:c4,HuaweiTechno,华为,
40:4c:ca,Espressif,Espressif / 乐鑫,
40:4d:7f,Apple,Apple,
40:4d:8e,HuaweiTechno,华为,
40:4f:42,HuaweiTechno,华为,
40:54:93,zte,中兴,
40:5d:82,Netgear,NETGEAR,router
40:5e:f6,SamsungElect,Samsung / 三星,
40:67:68,HuaweiDevice,华为,
40:67:9b,SkyworthDigi,创维,tv
40:6c:8f,Apple,Apple,
40:6f:27,HuaweiTechno,华为,
40:70:f5,Apple,Apple,
40:76:a9,HuaweiDevice,华为,
40:79:11,Apple,Apple,
40:7d:0f,HuaweiTechno,华为,
40:83:1d,Apple,Apple,
40:89:c2,Apple,Apple,
40:8e:df,HuaweiDevice,华为,
40:91:51,Espressif,Espressif / 乐鑫,
40:92:1a,Apple,Apple,
40:95:95,TPLink,TP-Link,router
40:98:ad,Apple,Apple,
40:9c:28,Apple,Apple,
40:a4:4a,Google,Google,speaker
40:a6:54,HuaweiTechno,华为,
40:a6:d9,Apple,Apple,
40:ac:bf,HikvisionDig,海康威视,camera
40:ae:30,TPLink,TP-Link,router
40:b0:76,ASUSTekCOMPU,华硕,router
40:b1:5c,HuaweiTechno,华为,
40:b3:95,Apple,Apple,
40:b3:fa,Apple,Apple,
40:b5:70,HikvisionDig,海康威视,camera
40:b6:e7,HuaweiDevice,华为,
40:b7:0e,HuaweiDevice,华为,
40:b8:37,Sony,Sony / 索尼,
40:bc:60,Apple,Apple,
40:c3:bc,HuaweiDevice,华为,
40:c7:11,Apple,Apple,
40:cb:a8,HuaweiTechno,华为,
40:cb:c0,Apple,Apple,
40:d1:60,Apple,Apple,
40:d3:2d,Apple,Apple,
40:d3:ae,SamsungElect,Samsung / 三星,
40:d4:f6,HonorDevice,荣耀,
40:da:5c,Apple,Apple,
40:dc:a5,HuaweiDevice,华为,
40:de:24,SamsungElect,Samsung / 三星,
40:e6:4b,Apple,Apple,
40:e9:9b,SamsungElect,Samsung / 三星,
40:eb:21,HuaweiTechno,华为,
40:ed:00,TPLink,TP-Link,router
40:ed:cf,Apple,Apple,
40:ee:6d,HuaweiTechno,华为,
40:ee:dd,HuaweiTechno,华为,
40:f5:20,Espressif,Espressif / 乐鑫,
40:f9:46,Apple,Apple,
44:00:10,Apple,Apple,
44:00:4d,HuaweiTechno,华为,
44:05:b8,HuaweiDevice,华为,
44:07:0b,Google,Google,speaker
44:09:c6,HuaweiTechno,华为,
44:09:da,Apple,Apple,
44:0c:4b,HuaweiTechno,华为,
44:10:30,Google,Google,speaker
44:13:d0,zte,中兴,
44:16:fa,SamsungElect,Samsung / 三星,
44:17:93,Espressif,Espressif / 乐鑫,
44:18:fd,Apple,Apple,
44:19:b6,HikvisionDig,海康威视,camera
44:1b:88,Apple,Apple,
44:1b:f6,Espressif,Espressif / 乐鑫,
44:1d:64,Espressif,Espressif / 乐鑫,
44:22:7c,HuaweiTechno,华为,
44:23:7c,XiaomiMobile,小米,
44:27:2e,HuaweiDevice,华为,
44:2a:60,Apple,Apple,
44:30:3f,HuaweiTechno,华为,
44:32:1d,HuaweiTechno,华为,
44:32:62,zte,中兴,
44:35:83,Apple,Apple,
44:41:f0,zte,中兴,
44:46:87,RealmeChongq,realme,
44:47:cc,HikvisionDig,海康威视,camera
44:48:ff,QingdaoHaier,海尔,
44:4a:37,XiaomiCommun,小米,
44:4a:db,Apple,Apple,
44:4c:0c,Apple,Apple,
44:4e:1a,SamsungElect,Samsung / 三星,
44:55:2b,SamsungElect,Samsung / 三星,
44:55:b1,HuaweiTechno,华为,
44:55:c4,HuaweiDevice,华为,
44:57:9f,XiaomiMobile,小米,
44:59:43,zte,中兴,
44:59:e3,HuaweiTechno,华为,
44:5c:e9,SamsungElect,Samsung / 三星,
44:63:b6,Apple,Apple,
44:66:90,TpLinkTechno,TP-Link,router
44:67:47,HuaweiTechno,华为,
44:6a:2e,HuaweiTechno,华为,
44:6d:6c,SamsungElect,Samsung / 三星,
44:6e:e5,HuaweiTechno,华为,
44:71:47,XiaomiElectr,小米,
44:74:6c,Sony,Sony / 索尼,
44:76:54,HuaweiTechno,华为,
44:78:31,HuaweiTechno,华为,
44:78:3e,SamsungElect,Samsung / 三星,
44:7b:30,Espressif,Espressif / 乐鑫,
44:82:e5,HuaweiTechno,华为,
44:85:da,SkyworthDigi,创维,tv
44:8c:00,RealmeChongq,realme,
44:8f:17,SamsungElect,Samsung / 三星,
44:90:46,HonorDevice,荣耀,
44:90:bb,Apple,Apple,
44:94:fc,Netgear,NETGEAR,router
44:9a:52,zte,中兴,
44:9b:c1,HuaweiTechno,华为,
44:9e:8b,Apple,Apple,
44:9f:46,HuaweiDevice,华为,
44:a0:38,HuaweiDevice,华为,
44:a1:0e,Apple,Apple,
44:a1:91,HuaweiTechno,华为,
44:a3:c7,zte,中兴,
44:a5:6e,Netgear,NETGEAR,router
44:a6:42,HikvisionDig,海康威视,camera
44:a7:f4,Apple,Apple,
44:a8:fc,Apple,Apple,
44:ae:44,HuaweiDevice,华为,
44:b1:76,Espressif,Espressif / 乐鑫,
44:b3:2d,TpLinkTechno,TP-Link,router
44:b3:c5,HuaweiDevice,华为,
44:bb:3b,Google,Google,speaker
44:bd:8d,Espressif,Espressif / 乐鑫,
44:bd:c8,XiaomiCommun,小米,
44:be:0b,HuaweiTechno,华为,
44:c3:46,HuaweiTechno,华为,
44:c3:b6,HuaweiTechno,华为,
44:c5:32,HuaweiTechno,华为,
44:c6:3c,SamsungElect,Samsung / 三星,
44:c6:5d,Apple,Apple,
44:c7:fc,HuaweiDevice,华为,
44:cb:ad,XiaomiCommun,小米,
44:d4:e0,Sony,Sony / 索尼,
44:d7:91,HuaweiTechno,华为,
44:d8:84,Apple,Apple,
44:d9:e7,Ubiquiti,Ubiquiti,router
44:da:30,Apple,Apple,
44:db:be,HuaweiTechno,华为,
44:df:65,XiaomiMobile,小米,
44:e2:13,XiaomiMobile,小米,
44:e5:9b,HuaweiTechno,华为,
44:e6:6e,Apple,Apple,
44:e8:53,Apple,Apple,
44:e9:68,HuaweiTechno,华为,
44:ea:30,SamsungElect,Samsung / 三星,
44:f0:9e,Apple,Apple,
44:f2:1b,Apple,Apple,
44:f4:36,zte,中兴,
44:f4:59,SamsungElect,Samsung / 三星,
44:f7:70,XiaomiMobile,小米,
44:f9:71,MercuryCommu,水星 / Mercury,router
44:fb:42,Apple,Apple,
44:fb:5a,zte,中兴,
44:ff:ba,zte,中兴,
48:00:31,HuaweiTechno,华为,
48:01:c5,OnePlusTechn,一加,
48:02:34,HuaweiTechno,华为,
48:02:86,RealmeChongq,realme,
48:05:e2,HuaweiDevice,华为,
48:0a:28,Apple,Apple,
48:0e:ec,TpLinkTechno,TP-Link,router
48:12:58,HuaweiTechno,华为,
48:12:8f,HuaweiTechno,华为,
48:13:7e,SamsungElect,Samsung / 三星,
48:22:54,TPLink,TP-Link,router
48:25:f3,HuaweiDevice,华为,
48:26:2c,Apple,Apple,
48:27:c5,HuaweiTechno,华为,
48:27:e2,Espressif,Espressif / 乐鑫,
48:27:ea,SamsungElect,Samsung / 三星,
48:28:2f,zte,中兴,
48:2c:a0,XiaomiCommun,小米,
48:2c:d0,HuaweiTechno,华为,
48:2f:d7,HuaweiTechno,华为,
48:31:b7,Espressif,Espressif / 乐鑫,
48:31:db,HuaweiDevice,华为,
48:35:2b,Apple,Apple,
48:35:84,HuaweiDevice,华为,
48:35:ab,Apple,Apple,
48:38:71,HuaweiDevice,华为,
48:3b:38,Apple,Apple,
48:3c:0c,HuaweiTechno,华为,
48:3f:72,SamsungElect,Samsung / 三星,
48:3f:da,Espressif,Espressif / 乐鑫,
48:3f:e9,HuaweiTechno,华为,
48:43:5a,HuaweiTechno,华为,
48:43:7c,Apple,Apple,
48:44:f7,SamsungElect,Samsung / 三星,
48:46:fb,HuaweiTechno,华为,
48:47:4b,HuaweiDevice,华为,
48:49:82,HuaweiDevice,华为,
48:49:96,HuaweiDevice,华为,
48:49:c7,SamsungElect,Samsung / 三星,
48:4b:aa,Apple,Apple,
48:4c:29,HuaweiTechno,华为,
48:4c:86,HuaweiDevice,华为,
48:51:69,SamsungElect,Samsung / 三星,
48:55:19,Espressif,Espressif / 乐鑫,
48:55:5e,SkyworthDigi,创维,tv
48:57:02,HuaweiTechno,华为,
48:59:a4,zte,中兴,
48:5b:39,ASUSTekCOMPU,华硕,router
48:5f:08,TpLinkTechno,TP-Link,router
48:5f:df,zte,中兴,
48:60:bc,Apple,Apple,
48:61:ee,SamsungElect,Samsung / 三星,
48:62:76,HuaweiTechno,华为,
48:63:45,HuaweiDevice,华为,
48:70:6f,HuaweiTechno,华为,
48:74:12,OnePlusTechn,一加,
48:74:6e,Apple,Apple,
48:78:5b,HikvisionDig,海康威视,camera
48:79:4d,SamsungElect,Samsung / 三星,
48:7b:6b,HuaweiTechno,华为,
48:7d:2e,TpLinkTechno,TP-Link,router
48:82:df,HuaweiDevice,华为,
48:87:59,XiaomiCommun,小米,
48:8a:d2,MercuryCommu,水星 / Mercury,router
48:8c:63,HuaweiDevice,华为,
48:8e:ef,HuaweiTechno,华为,
48:96:d9,zte,中兴,
48:9a:58,SamsungElect,Samsung / 三星,
48:9b:e0,RealmeChongq,realme,
48:9d:31,Espressif,Espressif / 乐鑫,
48:9d:d1,SamsungElect,Samsung / 三星,
48:a1:95,Apple,Apple,
48:a5:16,HuaweiDevice,华为,
48:a7:4e,zte,中兴,
48:a9:1c,Apple,Apple,
48:ad:08,HuaweiTechno,华为,
48:af:f3,Espressif,Espressif / 乐鑫,
48:b2:5d,HuaweiTechno,华为,
48:b8:a3,Apple,Apple,
48:bc:e1,SamsungElect,Samsung / 三星,
48:bd:4a,HuaweiTechno,华为,
48:bd:a7,HonorDevice,荣耀,
48:bf:6b,Apple,Apple,
48:c1:ee,HonorDevice,荣耀,
48:c3:81,TPLink,TP-Link,router
48:c7:96,SamsungElect,Samsung / 三星,
48:ca:43,Espressif,Espressif / 乐鑫,
48:ca:68,Apple,Apple,
48:cd:d3,HuaweiTechno,华为,
48:cf:a9,HuaweiTechno,华为,
48:d5:39,HuaweiTechno,华为,
48:d6:82,zte,中兴,
48:d6:d5,Google,Google,speaker
48:d7:05,Apple,Apple,
48:db:50,HuaweiTechno,华为,
48:dc:2d,HuaweiTechno,华为,
48:e1:5c,Apple,Apple,
48:e1:ca,Apple,Apple,
48:e7:29,Espressif,Espressif / 乐鑫,
48:e9:f1,Apple,Apple,
